#Evid,Magnitude,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
60847567,1.3,1408390557.85,2014/08/18 19:35:57,2014/08/18 12:35:57 PDT,"42.2 km (  26.2 mi) NNE (  13. azimuth) from Roseburg, OR",43.5867,-123.2252,0.0,0.0
10807748,0.9,1290047266.82,2010/11/18 02:27:46,2010/11/17 18:27:46 PST,"17.9 km (  11.1 mi) WNW ( 288. azimuth) from Klamath Falls, OR",42.2757,-121.9872,12.1,7.5
60496067,0.8,1358793041.04,2013/01/21 18:30:41,2013/01/21 10:30:41 PST,"22.7 km (  14.1 mi) SSW ( 197. azimuth) from Bremerton, WA",47.3708,-122.7160,23.8,14.7
60483851,1.8,1351887270.06,2012/11/02 20:14:30,2012/11/02 13:14:30 PDT,"33.6 km (  20.9 mi) WSW ( 237. azimuth) from Morton, WA",46.3917,-122.6407,0.0,0.0
10801773,1.8,1282804291.61,2010/08/26 06:31:31,2010/08/25 23:31:31 PDT,"22.4 km (  13.9 mi) NW  ( 307. azimuth) from Granite Falls, WA",48.206,-122.2077,0.0,0.0
10820333,1.7,1312588790.7,2011/08/05 23:59:50,2011/08/05 16:59:50 PDT,"67.1 km (  41.7 mi) NW  ( 308. azimuth) from Klamath Falls, OR",42.5973,-122.4247,17.5,10.8
60581427,1.6,1377794512.09,2013/08/29 16:41:52,2013/08/29 09:41:52 PDT,"42.0 km (  26.1 mi) S   ( 175. azimuth) from Eugene, OR",43.6762,-123.0380,0.0,0.0
60846672,1.1,1408295111.61,2014/08/17 17:05:11,2014/08/17 10:05:11 PDT,"15.7 km (   9.8 mi) NW  ( 317. azimuth) from Portland, OR",45.6392,-122.7567,10.0,6.2
10827028,1.3,1315987389.76,2011/09/14 08:03:09,2011/09/14 01:03:09 PDT,"3.4 km (   2.1 mi) NW  ( 325. azimuth) from Entiat, WA",47.6868,-120.2493,3.8,2.3
10828943,1.2,1318057442.83,2011/10/08 07:04:02,2011/10/08 00:04:02 PDT,"10.6 km (   6.6 mi) NNE (  25. azimuth) from Tacoma, WA",47.3232,-122.3742,7.5,4.7
60886861,2.4,1411668700.78,2014/09/25 18:11:40,2014/09/25 11:11:40 PDT,"2.3 km (   1.4 mi) WNW ( 300. azimuth) from Bend, OR",44.0688,-121.3332,0.0,0.0
60681512,0.8,1391205583.55,2014/01/31 21:59:43,2014/01/31 13:59:43 PST,"25.6 km (  15.9 mi) NE  (  42. azimuth) from Longview, WA",46.3087,-122.7215,0.0,0.0
61036017,1.3,1435649587.49,2015/06/30 07:33:07,2015/06/30 00:33:07 PDT,"19.1 km (  11.9 mi) ESE ( 106. azimuth) from Friday Harbor, WA",48.4875,-122.7555,26.8,16.6
60996176,0.8,1428529129.39,2015/04/08 21:38:49,2015/04/08 14:38:49 PDT,"48.2 km (  29.9 mi) S   ( 175. azimuth) from Port Angeles, WA",47.6837,-123.3843,9.0,5.6
10823333,2.2,1315047719.8,2011/09/03 11:01:59,2011/09/03 04:01:59 PDT,"16.0 km (   9.9 mi) NNW ( 338. azimuth) from Tacoma, WA",47.3698,-122.5138,56.9,35.3
60434437,2.3,1343927908.5,2012/08/02 17:18:28,2012/08/02 10:18:28 PDT,"66.5 km (  41.3 mi) E   (  83. azimuth) from Hope, BC",49.4512,-120.5367,0.0,0.0
10784023,1.0,1262640125.08,2010/01/04 21:22:05,2010/01/04 13:22:05 PST,"13.9 km (   8.6 mi) ESE ( 115. azimuth) from Maupin, OR",45.1225,-120.9192,15.6,9.6
60404887,1.6,1337620208.29,2012/05/21 17:10:08,2012/05/21 10:10:08 PDT,"34.6 km (  21.5 mi) NNE (  16. azimuth) from Portland, OR",45.8347,-122.4992,0.0,0.0
10812588,1.8,1302607038.83,2011/04/12 11:17:18,2011/04/12 04:17:18 PDT,"37.0 km (  23.0 mi) SSE ( 159. azimuth) from Morton, WA",46.2478,-122.1012,7.4,4.6
10810093,0.9,1285147302.93,2010/09/22 09:21:42,2010/09/22 02:21:42 PDT,"17.6 km (  10.9 mi) NW  ( 313. azimuth) from Deming, WA",48.9323,-122.3933,73.7,45.7
60999146,0.9,1429094647.69,2015/04/15 10:44:07,2015/04/15 03:44:07 PDT,"35.6 km (  22.1 mi) E   (  93. azimuth) from Morton, WA",46.5435,-121.8105,6.1,3.8
60533161,2.9,1369495379.68,2013/05/25 15:22:59,2013/05/25 08:22:59 PDT,"9.2 km (   5.7 mi) NE  (  34. azimuth) from Sedro Woolley, WA",48.5687,-122.1647,15.4,9.5
60608997,0.7,1381483012.34,2013/10/11 09:16:52,2013/10/11 02:16:52 PDT,"5.0 km (   3.1 mi) SE  ( 138. azimuth) from Bremerton, WA",47.533,-122.5853,18.1,11.2
61026771,2.2,1432917938.05,2015/05/29 16:45:38,2015/05/29 09:45:38 PDT,"24.6 km (  15.3 mi) WNW ( 285. azimuth) from Eugene, OR",44.1102,-123.3828,0.0,0.0
61002927,1.2,1431640701.86,2015/05/14 21:58:21,2015/05/14 14:58:21 PDT,"16.1 km (  10.0 mi) S   ( 173. azimuth) from Morton, WA",46.4147,-122.2482,0.0,0.0
10825708,2.0,1314228532.11,2011/08/24 23:28:52,2011/08/24 16:28:52 PDT,"3.9 km (   2.4 mi) NNE (  14. azimuth) from Carnation, Wa",47.6818,-121.9022,23.4,14.5
60068813,1.0,1407094218.82,2014/08/03 19:30:18,2014/08/03 12:30:18 PDT,"26.8 km (  16.7 mi) NW  ( 307. azimuth) from Portland, OR",45.6813,-122.8942,8.0,5.0
60638376,1.2,1385435797.08,2013/11/26 03:16:37,2013/11/25 19:16:37 PST,"6.3 km (   3.9 mi) NNW ( 334. azimuth) from Kirkland, Wa",47.7325,-122.2433,22.0,13.6
60383372,2.1,1330452273.72,2012/02/28 18:04:33,2012/02/28 10:04:33 PST,"68.2 km (  42.4 mi) WSW ( 257. azimuth) from Penticton, BC",49.3585,-120.5008,0.0,0.0
60966256,0.8,1423620455.46,2015/02/11 02:07:35,2015/02/10 18:07:35 PST,"40.6 km (  25.2 mi) S   ( 170. azimuth) from Morton, WA",46.1993,-122.1793,3.2,2.0
10794058,1.4,1278092353.27,2010/07/02 17:39:13,2010/07/02 10:39:13 PDT,"39.3 km (  24.4 mi) SW  ( 218. azimuth) from Newport, OR",44.3593,-124.3588,28.7,17.8
10810763,0.9,1299021461.05,2011/03/01 23:17:41,2011/03/01 15:17:41 PST,"40.2 km (  25.0 mi) ESE ( 109. azimuth) from Longview, WA",46.0207,-122.4478,16.5,10.2
10782678,1.2,1265010038.48,2010/02/01 07:40:38,2010/01/31 23:40:38 PST,"11.2 km (   7.0 mi) WSW ( 244. azimuth) from Morton, WA",46.5135,-122.4065,19.3,12.0
60682777,1.5,1391282704.19,2014/02/01 19:25:04,2014/02/01 11:25:04 PST,"11.9 km (   7.4 mi) ESE ( 104. azimuth) from Bremerton, WA",47.5417,-122.4760,20.4,12.6
10801958,2.7,1282959552.99,2010/08/28 01:39:12,2010/08/27 18:39:12 PDT,"45.1 km (  28.0 mi) SSW ( 205. azimuth) from Maupin, OR",44.8068,-121.3195,8.2,5.1
60464512,0.9,1350301877.9,2012/10/15 11:51:17,2012/10/15 04:51:17 PDT,"21.5 km (  13.4 mi) NW  ( 322. azimuth) from Poulsbo, WA",47.8872,-122.8227,13.1,8.1
60424157,1.5,1341853493.02,2012/07/09 17:04:53,2012/07/09 10:04:53 PDT,"13.0 km (   8.1 mi) E   (  85. azimuth) from Christmas Valley, OR",43.2483,-120.5208,1.2,0.8
60405336,2.2,1332810083.19,2012/03/27 01:01:23,2012/03/26 18:01:23 PDT,"41.4 km (  25.7 mi) ENE (  59. azimuth) from Skykomish, WA",47.8978,-120.8872,8.2,5.1
60420052,2.2,1341005353.86,2012/06/29 21:29:13,2012/06/29 14:29:13 PDT,"67.2 km (  41.8 mi) W   ( 261. azimuth) from Penticton, BC",49.4013,-120.5007,0.0,0.0
60440477,1.7,1344809875.68,2012/08/12 22:17:55,2012/08/12 15:17:55 PDT,"24.9 km (  15.5 mi) SE  ( 130. azimuth) from Woodburn, OR",45.0015,-122.6098,0.0,0.0
60993722,0.9,1430267779.2,2015/04/29 00:36:19,2015/04/28 17:36:19 PDT,"58.3 km (  36.2 mi) WSW ( 238. azimuth) from The Dalles, OR",45.3157,-121.8050,0.0,0.0
60815551,1.1,1403572536.63,2014/06/24 01:15:36,2014/06/23 18:15:36 PDT,"10.2 km (   6.3 mi) SW  ( 222. azimuth) from Chelan, WA",47.7735,-120.1035,6.6,4.1
61029097,0.8,1434604732.09,2015/06/18 05:18:52,2015/06/17 22:18:52 PDT,"7.6 km (   4.7 mi) E   (  89. azimuth) from Bremerton, WA",47.568,-122.5292,24.2,15.0
60530322,2.3,1368652851.64,2013/05/15 21:20:51,2013/05/15 14:20:51 PDT,"67.4 km (  41.9 mi) W   ( 263. azimuth) from Penticton, BC",49.4212,-120.5077,0.0,0.0
60481676,0.9,1351358062.19,2012/10/27 17:14:22,2012/10/27 10:14:22 PDT,"40.5 km (  25.2 mi) S   ( 171. azimuth) from Morton, WA",46.199,-122.1898,2.5,1.6
60728311,1.1,1395764935.65,2014/03/25 16:28:55,2014/03/25 09:28:55 PDT,"12.1 km (   7.5 mi) ENE (  73. azimuth) from The Dalles, OR",45.6262,-121.0242,0.0,0.0
60475917,0.7,1353251524.73,2012/11/18 15:12:04,2012/11/18 07:12:04 PST,"6.9 km (   4.3 mi) ESE ( 105. azimuth) from Poulsbo, WA",47.7183,-122.5555,16.4,10.2
60381542,0.9,1329952097.48,2012/02/22 23:08:17,2012/02/22 15:08:17 PST,"6.8 km (   4.2 mi) SE  ( 144. azimuth) from Enumclaw, WA",47.1558,-121.9350,0.0,0.0
60575437,1.5,1376931714.17,2013/08/19 17:01:54,2013/08/19 10:01:54 PDT,"33.7 km (  20.9 mi) ENE (  64. azimuth) from Longview, WA",46.2712,-122.5497,0.0,0.0
60581622,2.4,1377806948.7,2013/08/29 20:09:08,2013/08/29 13:09:08 PDT,"8.1 km (   5.0 mi) SE  ( 133. azimuth) from Astoria, OR",46.1357,-123.7575,0.0,0.0
61022161,2.6,1432459294.91,2015/05/24 09:21:34,2015/05/24 02:21:34 PDT,"11.1 km (   6.9 mi) E   (  99. azimuth) from Monroe, WA",47.8412,-121.8245,20.2,12.5
60072463,0.8,1407604123.27,2014/08/09 17:08:43,2014/08/09 10:08:43 PDT,"40.2 km (  25.0 mi) S   ( 170. azimuth) from Morton, WA",46.2028,-122.1827,3.8,2.3
60398652,0.8,1335979887.17,2012/05/02 17:31:27,2012/05/02 10:31:27 PDT,"6.0 km (   3.8 mi) S   ( 182. azimuth) from Sedro Woolley, WA",48.4457,-122.2385,10.4,6.4
10809168,2.0,1290745731.82,2010/11/26 04:28:51,2010/11/25 20:28:51 PST,"24.4 km (  15.2 mi) ESE ( 116. azimuth) from Eatonville, WA",46.7718,-121.9760,6.4,4.0
10799118,0.7,1272316821.67,2010/04/26 21:20:21,2010/04/26 14:20:21 PDT,"36.5 km (  22.7 mi) SW  ( 227. azimuth) from Port Angeles, WA",47.8908,-123.8012,12.1,7.5
10831053,1.5,1317165251.25,2011/09/27 23:14:11,2011/09/27 16:14:11 PDT,"9.6 km (   6.0 mi) NNW ( 337. azimuth) from Friday Harbor, WA",48.6145,-123.0567,13.4,8.3
60554336,1.5,1373980219.1,2013/07/16 13:10:19,2013/07/16 06:10:19 PDT,"44.1 km (  27.4 mi) NNW ( 329. azimuth) from Newberg, OR",45.6397,-123.2647,18.5,11.5
10832923,2.2,1319538381.53,2011/10/25 10:26:21,2011/10/25 03:26:21 PDT,"39.3 km (  24.4 mi) E   (  90. azimuth) from Eatonville, WA",46.8673,-121.7477,1.7,1.0
10815628,1.5,1304024087.5,2011/04/28 20:54:47,2011/04/28 13:54:47 PDT,"26.1 km (  16.2 mi) E   (  83. azimuth) from Centralia, WA",46.7452,-122.6200,0.0,0.0
60456732,0.8,1348768866.3,2012/09/27 18:01:06,2012/09/27 11:01:06 PDT,"39.6 km (  24.6 mi) E   (  86. azimuth) from Morton, WA",46.5813,-121.7582,1.3,0.8
60921536,0.8,1415621782.23,2014/11/10 12:16:22,2014/11/10 04:16:22 PST,"17.7 km (  11.0 mi) SSW ( 210. azimuth) from Morton, WA",46.4202,-122.3903,18.9,11.7
10821803,2.5,1297940104.59,2011/02/17 10:55:04,2011/02/17 02:55:04 PST,"31.4 km (  19.5 mi) S   ( 172. azimuth) from Morton, WA",46.2787,-122.2145,6.3,3.9
60551016,1.9,1373490887.57,2013/07/10 21:14:47,2013/07/10 14:14:47 PDT,"66.5 km (  41.3 mi) W   ( 260. azimuth) from Penticton, BC",49.3998,-120.4902,0.0,0.0
60519722,1.6,1366482259.88,2013/04/20 18:24:19,2013/04/20 11:24:19 PDT,"24.0 km (  14.9 mi) E   (  84. azimuth) from Monroe, WA",47.8785,-121.6513,8.6,5.4
10803263,1.0,1276930467.05,2010/06/19 06:54:27,2010/06/18 23:54:27 PDT,"12.3 km (   7.6 mi) NNW ( 339. azimuth) from Friday Harbor, WA",48.6383,-123.0642,16.3,10.1
60840807,1.5,1407804170.57,2014/08/12 00:42:50,2014/08/11 17:42:50 PDT,"17.8 km (  11.0 mi) ENE (  64. azimuth) from Canby, OR",45.333,-122.4868,26.2,16.3
60523927,1.5,1367464948.19,2013/05/02 03:22:28,2013/05/01 20:22:28 PDT,"12.6 km (   7.8 mi) S   ( 182. azimuth) from Lakeview, OR",42.0793,-120.3512,5.6,3.4
60627416,2.8,1384170403.58,2013/11/11 11:46:43,2013/11/11 03:46:43 PST,"40.8 km (  25.4 mi) WSW ( 259. azimuth) from Bremerton, WA",47.4945,-123.1628,43.0,26.6
10819173,1.5,1309601801.6,2011/07/02 10:16:41,2011/07/02 03:16:41 PDT,"19.4 km (  12.0 mi) ESE ( 123. azimuth) from Woodburn, OR",45.0487,-122.6472,13.2,8.2
10808948,1.6,1284669086.41,2010/09/16 20:31:26,2010/09/16 13:31:26 PDT,"8.9 km (   5.5 mi) NE  (  39. azimuth) from North Bend, WA",47.559,-121.7113,1.7,1.0
60517457,0.8,1365851200.23,2013/04/13 11:06:40,2013/04/13 04:06:40 PDT,"25.8 km (  16.0 mi) SSW ( 198. azimuth) from Bremerton, WA",47.3465,-122.7372,25.0,15.5
60420302,0.8,1341043504.54,2012/06/30 08:05:04,2012/06/30 01:05:04 PDT,"0.8 km (   0.5 mi) W   ( 273. azimuth) from Seattle, WA",47.6023,-122.3450,23.8,14.8
60457022,2.7,1348839960.88,2012/09/28 13:46:00,2012/09/28 06:46:00 PDT,"38.2 km (  23.8 mi) SSE ( 161. azimuth) from Morton, WA",46.233,-122.1132,9.5,5.9
60954107,0.6,1423459227.92,2015/02/09 05:20:27,2015/02/08 21:20:27 PST,"24.4 km (  15.1 mi) E   (  95. azimuth) from Eatonville, WA",46.8493,-121.9455,9.7,6.0
60380592,0.6,1329689893.32,2012/02/19 22:18:13,2012/02/19 14:18:13 PST,"6.3 km (   3.9 mi) WNW ( 295. azimuth) from Entiat, WA",47.686,-120.2988,1.2,0.7
10808473,1.0,1290463387.46,2010/11/22 22:03:07,2010/11/22 14:03:07 PST,"11.6 km (   7.2 mi) W   ( 278. azimuth) from Morton, WA",46.5725,-122.4250,16.2,10.0
10821158,0.8,1309066118.17,2011/06/26 05:28:38,2011/06/25 22:28:38 PDT,"11.3 km (   7.0 mi) W   ( 270. azimuth) from Bremerton, WA",47.566,-122.7807,18.0,11.1
60728056,0.7,1395706960.43,2014/03/25 00:22:40,2014/03/24 17:22:40 PDT,"54.3 km (  33.8 mi) WNW ( 285. azimuth) from Maupin, OR",45.3043,-121.7492,6.9,4.3
10803648,1.7,1277224558.68,2010/06/22 16:35:58,2010/06/22 09:35:58 PDT,"23.0 km (  14.3 mi) SE  ( 134. azimuth) from Eugene, OR",43.9088,-122.8793,3.4,2.1
10820858,1.5,1312812644.05,2011/08/08 14:10:44,2011/08/08 07:10:44 PDT,"40.2 km (  25.0 mi) S   ( 171. azimuth) from Morton, WA",46.2015,-122.1935,0.0,0.0
60512596,1.8,1364234704.93,2013/03/25 18:05:04,2013/03/25 11:05:04 PDT,"32.5 km (  20.2 mi) SSW ( 204. azimuth) from Prosser, Wa",45.9393,-119.9372,0.0,0.0
60394667,1.6,1334857257.85,2012/04/19 17:40:57,2012/04/19 10:40:57 PDT,"1.9 km (   1.2 mi) WSW ( 242. azimuth) from Entiat, WA",47.6538,-120.2453,3.5,2.2
60671672,0.8,1389876975.58,2014/01/16 12:56:15,2014/01/16 04:56:15 PST,"26.2 km (  16.3 mi) E   ( 100. azimuth) from Eatonville, WA",46.826,-121.9262,9.5,5.9
60967821,0.9,1423833556.03,2015/02/13 13:19:16,2015/02/13 05:19:16 PST,"0.9 km (   0.6 mi) NNW ( 348. azimuth) from Kirkland, Wa",47.6898,-122.2095,5.1,3.1
60629941,0.8,1384515684.31,2013/11/15 11:41:24,2013/11/15 03:41:24 PST,"28.0 km (  17.4 mi) SSW ( 196. azimuth) from Morton, WA",46.3163,-122.3740,15.1,9.4
60731597,1.0,1396565521.38,2014/04/03 22:52:01,2014/04/03 15:52:01 PDT,"1.1 km (   0.7 mi) NNE (  21. azimuth) from Granite Falls, WA",48.0935,-121.9625,0.0,0.0
60993622,1.7,1430251503.69,2015/04/28 20:05:03,2015/04/28 13:05:03 PDT,"36.4 km (  22.6 mi) E   (  90. azimuth) from Moses Lake, WA",47.1262,-118.8015,0.0,0.0
10793878,1.4,1278000161.22,2010/07/01 16:02:41,2010/07/01 09:02:41 PDT,"21.0 km (  13.1 mi) E   (  96. azimuth) from Newport, OR",44.6188,-123.7877,16.1,10.0
60874231,0.6,1410281353.63,2014/09/09 16:49:13,2014/09/09 09:49:13 PDT,"49.6 km (  30.8 mi) WNW ( 289. azimuth) from Maupin, OR",45.323,-121.6772,6.9,4.3
10811173,0.9,1292155226.23,2010/12/12 12:00:26,2010/12/12 04:00:26 PST,"25.4 km (  15.8 mi) SE  ( 144. azimuth) from Vancouver, BC",48.9458,-122.8537,23.1,14.3
60431956,1.1,1340357126.86,2012/06/22 09:25:26,2012/06/22 02:25:26 PDT,"39.7 km (  24.7 mi) E   (  85. azimuth) from Longview, WA",46.1697,-122.4283,18.8,11.7
10833388,0.8,1324777970.22,2011/12/25 01:52:50,2011/12/24 17:52:50 PST,"18.3 km (  11.4 mi) E   (  84. azimuth) from Port Angeles, WA",48.1313,-123.1980,39.7,24.6
60428281,1.8,1339532769.6,2012/06/12 20:26:09,2012/06/12 13:26:09 PDT,"68.1 km (  42.3 mi) W   ( 259. azimuth) from Penticton, BC",49.3847,-120.5080,0.0,0.0
10798813,1.7,1281589838.48,2010/08/12 05:10:38,2010/08/11 22:10:38 PDT,"52.7 km (  32.8 mi) WSW ( 240. azimuth) from The Dalles, OR",45.3612,-121.7612,5.0,3.1
60492981,1.0,1355300061.39,2012/12/12 08:14:21,2012/12/12 00:14:21 PST,"23.2 km (  14.4 mi) E   (  86. azimuth) from Monroe, WA",47.8707,-121.6612,12.6,7.8
60400177,2.3,1336497666.96,2012/05/08 17:21:06,2012/05/08 10:21:06 PDT,"66.0 km (  41.0 mi) WSW ( 256. azimuth) from Penticton, BC",49.3515,-120.4667,0.0,0.0
60847192,0.7,1408345192.62,2014/08/18 06:59:52,2014/08/17 23:59:52 PDT,"7.2 km (   4.5 mi) SSW ( 209. azimuth) from Skykomish, WA",47.65,-121.4093,7.3,4.5
10807448,1.3,1287216986.32,2010/10/16 08:16:26,2010/10/16 01:16:26 PDT,"41.0 km (  25.4 mi) S   ( 170. azimuth) from Morton, WA",46.1952,-122.1858,1.2,0.7
60452192,1.6,1347693919.65,2012/09/15 07:25:19,2012/09/15 00:25:19 PDT,"38.1 km (  23.7 mi) ENE (  62. azimuth) from Diablo, WA",48.877,-120.6848,10.0,6.2
60605817,2.3,1380958024.11,2013/10/05 07:27:04,2013/10/05 00:27:04 PDT,"11.0 km (   6.8 mi) ESE ( 123. azimuth) from North Bend, WA",47.4432,-121.6617,17.7,11.0
60575727,1.1,1376951335.35,2013/08/19 22:28:55,2013/08/19 15:28:55 PDT,"27.7 km (  17.2 mi) NE  (  51. azimuth) from Portland, OR",45.692,-122.3440,0.0,0.0
10827463,2.2,1311625591.49,2011/07/25 20:26:31,2011/07/25 13:26:31 PDT,"26.2 km (  16.3 mi) NW  ( 323. azimuth) from Eugene, OR",44.2402,-123.2830,1.4,0.9
60602507,1.6,1380578734.29,2013/09/30 22:05:34,2013/09/30 15:05:34 PDT,"40.2 km (  25.0 mi) S   ( 170. azimuth) from Morton, WA",46.2022,-122.1858,2.6,1.6
60540097,0.9,1371099722.89,2013/06/13 05:02:02,2013/06/12 22:02:02 PDT,"8.8 km (   5.5 mi) W   ( 260. azimuth) from Seattle, WA",47.5887,-122.4495,24.4,15.1
60491177,0.9,1358004284.54,2013/01/12 15:24:44,2013/01/12 07:24:44 PST,"66.9 km (  41.6 mi) NE  (  51. azimuth) from Portland, OR",45.9133,-121.9503,4.8,3.0
60890052,2.9,1412924813.7,2014/10/10 07:06:53,2014/10/10 00:06:53 PDT,"89.3 km (  55.5 mi) W   ( 262. azimuth) from Eureka, CA",40.6703,-125.2067,9.0,5.6
60462221,1.7,1347046355.11,2012/09/07 19:32:35,2012/09/07 12:32:35 PDT,"50.6 km (  31.4 mi) S   ( 186. azimuth) from Coos Bay, OR",42.9147,-124.2793,0.0,0.0
60922967,2.5,1416766549.6,2014/11/23 18:15:49,2014/11/23 10:15:49 PST,"59.6 km (  37.1 mi) SW  ( 231. azimuth) from Forks, WA",47.6098,-125.0027,20.8,12.9
60478966,2.1,1350757609.45,2012/10/20 18:26:49,2012/10/20 11:26:49 PDT,"6.3 km (   3.9 mi) E   (  98. azimuth) from Entiat, WA",47.6533,-120.1395,0.5,0.3
10805828,1.6,1289103997.33,2010/11/07 04:26:37,2010/11/06 21:26:37 PDT,"12.9 km (   8.0 mi) NNW ( 328. azimuth) from Canby, OR",45.361,-122.7782,15.9,9.9
61022682,1.0,1433701871.35,2015/06/07 18:31:11,2015/06/07 11:31:11 PDT,"19.5 km (  12.1 mi) SW  ( 227. azimuth) from Eatonville, WA",46.7492,-122.4533,24.2,15.0
60672507,0.9,1390020942.19,2014/01/18 04:55:42,2014/01/17 20:55:42 PST,"12.2 km (   7.6 mi) ENE (  77. azimuth) from Poulsbo, WA",47.7595,-122.4863,22.6,14.0
60621232,0.8,1383279170.68,2013/11/01 04:12:50,2013/10/31 21:12:50 PDT,"14.0 km (   8.7 mi) N   ( 358. azimuth) from Morton, WA",46.684,-122.2810,14.0,8.7
60040008,0.7,1385159875.88,2013/11/22 22:37:55,2013/11/22 14:37:55 PST,"48.0 km (  29.8 mi) WSW ( 238. azimuth) from The Dalles, OR",45.3667,-121.6952,5.1,3.2
60707337,0.8,1393960253.39,2014/03/04 19:10:53,2014/03/04 11:10:53 PST,"6.4 km (   4.0 mi) N   (   8. azimuth) from Hanford-400, WA",46.4262,-119.2665,0.6,0.4
10793813,0.8,1270460823.63,2010/04/05 09:47:03,2010/04/05 02:47:03 PDT,"23.3 km (  14.5 mi) ENE (  70. azimuth) from Eatonville, WA",46.9385,-121.9765,15.5,9.6
10819448,1.4,1308544576.03,2011/06/20 04:36:16,2011/06/19 21:36:16 PDT,"11.8 km (   7.4 mi) SW  ( 221. azimuth) from Concrete, WA",48.4602,-121.8543,6.9,4.3
60863551,0.8,1409095371.98,2014/08/26 23:22:51,2014/08/26 16:22:51 PDT,"22.1 km (  13.8 mi) NNW ( 327. azimuth) from Granite Falls, WA",48.251,-122.1307,15.6,9.7
60522802,1.1,1367201553.13,2013/04/29 02:12:33,2013/04/28 19:12:33 PDT,"31.5 km (  19.6 mi) WSW ( 238. azimuth) from Millican, OR",43.729,-121.2520,4.9,3.0
60509286,2.4,1362780722.85,2013/03/08 22:12:02,2013/03/08 14:12:02 PST,"66.8 km (  41.5 mi) W   ( 267. azimuth) from Penticton, BC",49.4662,-120.5067,0.0,0.0
60783282,3.1,1401016903.49,2014/05/25 11:21:43,2014/05/25 04:21:43 PDT,"36.7 km (  22.8 mi) SW  ( 229. azimuth) from Mount Vernon, WA",48.2033,-122.7125,56.1,34.8
60509936,1.4,1363076131.39,2013/03/12 08:15:31,2013/03/12 01:15:31 PDT,"5.4 km (   3.3 mi) NNW ( 342. azimuth) from Tacoma, WA",47.2828,-122.4548,18.9,11.7
60545811,2.3,1372211159.09,2013/06/26 01:45:59,2013/06/25 18:45:59 PDT,"13.4 km (   8.3 mi) E   (  97. azimuth) from Christmas Valley, OR",43.224,-120.5170,8.0,5.0
10817218,0.9,1306011393.93,2011/05/21 20:56:33,2011/05/21 13:56:33 PDT,"40.7 km (  25.3 mi) WSW ( 255. azimuth) from Bremerton, WA",47.4742,-123.1550,46.5,28.9
60993631,1.5,1428210908.09,2015/04/05 05:15:08,2015/04/04 22:15:08 PDT,"39.7 km (  24.7 mi) ENE (  58. azimuth) from Diablo, WA",48.903,-120.6822,10.2,6.3
61026091,0.9,1432855347.76,2015/05/28 23:22:27,2015/05/28 16:22:27 PDT,"19.7 km (  12.2 mi) ENE (  60. azimuth) from Longview, WA",46.226,-122.7215,0.0,0.0
